context,question,answer
"All federal agencies are prohibited from authorizing, funding or carrying out actions that ""destroy or adversely modify"" critical habitats (Section 7(a) (2)). While the regulatory aspect of critical habitat does not apply directly to private and other non-federal landowners, large-scale development, logging and mining projects on private and state land typically require a federal permit and thus become subject to critical habitat regulations. Outside or in parallel with regulatory processes, critical habitats also focus and encourage voluntary actions such as land purchases, grant making, restoration, and establishment of reserves.",How are non-federal government activities that might impact critical habitat often subject to the Endangered Species Act?,require a federal permit
"Historically, the roots of Buddhism lie in the religious thought of ancient India during the second half of the first millennium BCE. That was a period of social and religious turmoil, as there was significant discontent with the sacrifices and rituals of Vedic Brahmanism.[note 15] It was challenged by numerous new ascetic religious and philosophical groups and teachings that broke with the Brahmanic tradition and rejected the authority of the Vedas and the Brahmans.[note 16] These groups, whose members were known as shramanas, were a continuation of a non-Vedic strand of Indian thought distinct from Indo-Aryan Brahmanism.[note 17] Scholars have reasons to believe that ideas such as samsara, karma (in the sense of the influence of morality on rebirth), and moksha originated in the shramanas, and were later adopted by Brahmin orthodoxy.[note 18][note 19][note 20][note 21][note 22][note 23]",What time period was the beginning of Buddhism?,second half of the first millennium BCE
"As of 2015[update], Nigeria is the world's 20th largest economy, worth more than $500 billion and $1 trillion in terms of nominal GDP and purchasing power parity respectively. It overtook South Africa to become Africa's largest economy in 2014. Also, the debt-to-GDP ratio is only 11 percent, which is 8 percent below the 2012 ratio. Nigeria is considered to be an emerging market by the World Bank; It has been identified as a regional power on the African continent, a middle power in international affairs, and has also been identified as an emerging global power. Nigeria is a member of the MINT group of countries, which are widely seen as the globe's next ""BRIC-like"" economies. It is also listed among the ""Next Eleven"" economies set to become among the biggest in the world. Nigeria is a founding member of the Commonwealth of Nations, the African Union, OPEC, and the United Nations amongst other international organisations.",What is Nigeria's 2015 GDP?,$500 billion
"Dog meat is consumed in some East Asian countries, including Korea, China, and Vietnam, a practice that dates back to antiquity. It is estimated that 13–16 million dogs are killed and consumed in Asia every year. Other cultures, such as Polynesia and pre-Columbian Mexico, also consumed dog meat in their history. However, Western, South Asian, African, and Middle Eastern cultures, in general, regard consumption of dog meat as taboo. In some places, however, such as in rural areas of Poland, dog fat is believed to have medicinal properties—being good for the lungs for instance. Dog meat is also consumed in some parts of Switzerland. Proponents of eating dog meat have argued that placing a distinction between livestock and dogs is western hypocrisy, and that there is no difference with eating the meat of different animals.",Where do some people eat dogs?,East Asian countries
"The editor, Larry Lamb, was originally from a Labour background, with a socialist upbringing while his temporary replacement Bernard Shrimsley (1972–75) was a middle-class uncommitted Conservative. An extensive advertising campaign on the ITV network in this period, voiced by actor Christopher Timothy, may have helped The Sun to overtake the Daily Mirror's circulation in 1978. Despite the industrial relations of the 1970s – the so-called ""Spanish practices"" of the print unions – The Sun was very profitable, enabling Murdoch to expand his operations to the United States from 1973.",Who temporarily replaced Larry Lamb?,Bernard Shrimsley
"In the Hellenistic period, there was much continuity in Greek religion: the Greek gods continued to be worshiped, and the same rites were practiced as before. However the socio-political changes brought on by the conquest of the Persian empire and Greek emigration abroad meant that change also came to religious practices. This varied greatly on location, Athens, Sparta and most cities in the Greek mainland did not see much religious change or new gods (with the exception of the Egyptian Isis in Athens), while the multi-ethnic Alexandria had a very varied group of gods and religious practices, including Egyptian, Jewish and Greek. Greek emigres brought their Greek religion everywhere they went, even as far as India and Afghanistan. Non-Greeks also had more freedom to travel and trade throughout the Mediterranean and in this period we can see Egyptian gods such as Serapis, and the Syrian gods Atargatis and Hadad, as well as a Jewish synagogue, all coexisting on the island of Delos alongside classical Greek deities. A common practice was to identify Greek gods with native gods that had similar characteristics and this created new fusions like Zeus-Ammon, Aphrodite Hagne (a Hellenized Atargatis) and Isis-Demeter. Greek emigres faced individual religious choices they had not faced on their home cities, where the gods they worshiped were dictated by tradition.",What Egyptian god was worshipped in Athens?,Isis
"The 2nd edition (1787) contained a Refutation of Idealism to distinguish his transcendental idealism from Descartes's Sceptical Idealism and Berkeley's anti-realist strain of Subjective Idealism. The section Paralogisms of Pure Reason is an implicit critique of Descartes' idealism. Kant says that it is not possible to infer the 'I' as an object (Descartes' cogito ergo sum) purely from ""the spontaneity of thought"". Kant focused on ideas drawn from British philosophers such as Locke, Berkeley and Hume but distinguished his transcendental or critical idealism from previous varieties;",What school of thought did Berkeley belong to?,Subjective Idealism
"Airports have played major roles in films and television programs due to their very nature as a transport and international hub, and sometimes because of distinctive architectural features of particular airports. One such example of this is The Terminal, a film about a man who becomes permanently grounded in an airport terminal and must survive only on the food and shelter provided by the airport. They are also one of the major elements in movies such as The V.I.P.s, Airplane!, Airport (1970), Die Hard 2, Soul Plane, Jackie Brown, Get Shorty, Home Alone, Liar Liar, Passenger 57, Final Destination (2000), Unaccompanied Minors, Catch Me If You Can, Rendition and The Langoliers. They have also played important parts in television series like Lost, The Amazing Race, America's Next Top Model, Cycle 10 which have significant parts of their story set within airports. In other programmes and films, airports are merely indicative of journeys, e.g. Good Will Hunting.",When was the movie Airport made?,1970
"During the mass high school education movement from 1910–1940, there was an increase in skilled workers, which led to a decrease in the price of skilled labor. High school education during the period was designed to equip students with necessary skill sets to be able to perform at work. In fact, it differs from the present high school education, which is regarded as a stepping-stone to acquire college and advanced degrees. This decrease in wages caused a period of compression and decreased inequality between skilled and unskilled workers. Education is very important for the growth of the economy, however educational inequality in gender also influence towards the economy. Lagerlof and Galor stated that gender inequality in education can result to low economic growth, and continued gender inequality in education, thus creating a poverty trap. It is suggested that a large gap in male and female education may indicate backwardness and so may be associated with lower economic growth, which can explain why there is economic inequality between countries.",When did the high school education movement occur?,1910–1940; 1910–1940; 1910–1940
"The city's population in 2010 was 44% white (33.3% non-Hispanic white), 25.5% black (23% non-Hispanic black), 0.7% Native American, and 12.7% Asian. Hispanics of any race represented 28.6% of the population, while Asians constituted the fastest-growing segment of the city's population between 2000 and 2010; the non-Hispanic white population declined 3 percent, the smallest recorded decline in decades; and for the first time since the Civil War, the number of blacks declined over a decade.",What percentage of the city's population is Caucasian?,44%
"The City of Charleston is served by the Charleston International Airport. It is located in the City of North Charleston and is about 12 miles (20 km) northwest of downtown Charleston. It is the busiest passenger airport in South Carolina (IATA: CHS, ICAO: KCHS). The airport shares runways with the adjacent Charleston Air Force Base. Charleston Executive Airport is a smaller airport located in the John's Island section of the city of Charleston and is used by noncommercial aircraft. Both airports are owned and operated by the Charleston County Aviation Authority.",What airport provides service to the City to Charleston?,Charleston International Airport
"People have used wood for millennia for many purposes, primarily as a fuel or as a construction material for making houses, tools, weapons, furniture, packaging, artworks, and paper. The year-to-year variation in tree-ring widths and isotopic abundances gives clues to the prevailing climate at that time.",What has been the primary purpose of wood for millennia other than fuel?,construction material
"According to his autobiography, Avicenna had memorised the entire Quran by the age of 10. He learned Indian arithmetic from an Indian greengrocer,ءMahmoud Massahi and he began to learn more from a wandering scholar who gained a livelihood by curing the sick and teaching the young. He also studied Fiqh (Islamic jurisprudence) under the Sunni Hanafi scholar Ismail al-Zahid. Avicenna was taught some extent of philosophy books such as Introduction (Isagoge)'s Porphyry (philosopher), Euclid's Elements, Ptolemy's Almagest by an unpopular philosopher, Abu Abdullah Nateli, who claimed philosophizing.",What had Avicenna memorized by the age of 10?,Quran
"A 2011 study by the Translational Genomics Research Institute showed that 47% of the meat and poultry sold in United States grocery stores was contaminated with Staphylococcus aureus, and 52% of the bacteria concerned showed resistance to at least three groups of antibiotics. Thorough cooking of the product would kill these bacteria, but a risk of cross-contamination from improper handling of the raw product is still present. Also, some risk is present for consumers of poultry meat and eggs to bacterial infections such as Salmonella and Campylobacter. Poultry products may become contaminated by these bacteria during handling, processing, marketing, or storage, resulting in food-borne illness if the product is improperly cooked or handled.",When is it possible for baccteria is enter into poultry before you get it home?,Translational Genomics Research
"For its part, the Soviet Union harbored fears of invasion. Having suffered at least 27 million casualties during World War II after being invaded by Nazi Germany in 1941, the Soviet Union was wary of its former ally, the United States, which until late 1949 was the sole possessor of atomic weapons. The United States had used these weapons operationally during World War II, and it could use them again against the Soviet Union, laying waste its cities and military centers. Since the Americans had a much larger air force than the Soviet Union, and the United States maintained advance air bases near Soviet territory, in 1947 Stalin ordered the development of intercontinental ballistic missiles (ICBMs) in order to counter the perceived American threat.",How many casualties did the Soviet Union have during WWII?,27 million
"The rebels made the first move in the war, seizing the strategic Rochester Castle, owned by Langton but left almost unguarded by the archbishop. John was well prepared for a conflict. He had stockpiled money to pay for mercenaries and ensured the support of the powerful marcher lords with their own feudal forces, such as William Marshal and Ranulf of Chester. The rebels lacked the engineering expertise or heavy equipment necessary to assault the network of royal castles that cut off the northern rebel barons from those in the south. John's strategy was to isolate the rebel barons in London, protect his own supply lines to his key source of mercenaries in Flanders, prevent the French from landing in the south-east, and then win the war through slow attrition. John put off dealing with the badly deteriorating situation in North Wales, where Llywelyn the Great was leading a rebellion against the 1211 settlement.",Who made the first move in the war?,rebels
"In October 1745, Ewald Georg von Kleist of Pomerania, Germany, found that charge could be stored by connecting a high-voltage electrostatic generator by a wire to a volume of water in a hand-held glass jar. Von Kleist's hand and the water acted as conductors, and the jar as a dielectric (although details of the mechanism were incorrectly identified at the time). Von Kleist found that touching the wire resulted in a powerful spark, much more painful than that obtained from an electrostatic machine. The following year, the Dutch physicist Pieter van Musschenbroek invented a similar capacitor, which was named the Leyden jar, after the University of Leiden where he worked. He also was impressed by the power of the shock he received, writing, ""I would not take a second shock for the kingdom of France.""",Who first discovered the basic properties of capacitors?,Ewald Georg von Kleist
"The traditional parish system persisted until the Reconstruction Era, when counties were imposed.[citation needed] Nevertheless, traditional parishes still exist in various capacities, mainly as public service districts. When the city of Charleston was formed, it was defined by the limits of the Parish of St. Philip and St. Michael, now also includes parts of St. James' Parish, St. George's Parish, St. Andrew's Parish, and St. John's Parish, although the last two are mostly still incorporated rural parishes.",What era brought counties to South Carolina?,Reconstruction Era
"In 2005, Apple faced two lawsuits claiming patent infringement by the iPod line and its associated technologies: Advanced Audio Devices claimed the iPod line breached its patent on a ""music jukebox"", while a Hong Kong-based IP portfolio company called Pat-rights filed a suit claiming that Apple's FairPlay technology breached a patent issued to inventor Ho Keung Tse. The latter case also includes the online music stores of Sony, RealNetworks, Napster, and Musicmatch as defendants.",In what year did Apple face multiple intellectual property lawsuits?,2005
"The undergraduates have a number of traditions: Painting The Rock (originally a fountain donated by the Class of 1902) is a way to advertise, for example, campus organizations, events in Greek life, student groups, and university-wide events. Dance Marathon, a 30-hour philanthropic event, has raised more than 13 million dollars in its history for various children's charities. Primal Scream is held at 9 p.m. on the Sunday before finals week every quarter; students lean out of windows or gather in courtyards and scream. Armadillo Day, or, more popularly, Dillo Day, a day of music and food, is held on Northwestern's Lakefill every Spring on the weekend after Memorial Day. And in one of the University's newer traditions, every year during freshman orientation, known as Wildcat Welcome, freshmen and transfer students pass through Weber Arch to the loud huzzahs of upperclassmen and the music of the University Marching Band.",How much money has the traditional Northwestern Dance Marathon raised for children's charities?,more than 13 million dollars
"In 1713 Farrukhsiyar, the Mughal emperor, appointed Asif Jah I to be Viceroy of the Deccan, with the title Nizam-ul-Mulk (Administrator of the Realm). In 1724, Asif Jah I defeated Mubariz Khan to establish autonomy over the Deccan Suba, named the region Hyderabad Deccan, and started what came to be known as the Asif Jahi dynasty. Subsequent rulers retained the title Nizam ul-Mulk and were referred to as Asif Jahi Nizams, or Nizams of Hyderabad. The death of Asif Jah I in 1748 resulted in a period of political unrest as his sons, backed by opportunistic neighbouring states and colonial foreign forces, contended for the throne. The accession of Asif Jah II, who reigned from 1762 to 1803, ended the instability. In 1768 he signed the treaty of Masulipatnam, surrendering the coastal region to the East India Company in return for a fixed annual rent.",What position did Farrukhsiyar hold?,emperor
"On September 6, 2006, Sony announced that PAL region PlayStation 3 launch would be delayed until March 2007, because of a shortage of materials used in the Blu-ray drive. At the Tokyo Game Show on September 22, 2006, Sony announced that it would include an HDMI port on the 20 GB system, but a chrome trim, flash card readers, silver logo and Wi-Fi would not be included. Also, the launch price of the Japanese 20 GB model was reduced by over 20%, and the 60 GB model was announced for an open pricing scheme in Japan. During the event, Sony showed 27 playable PS3 games running on final hardware.",Which region experience a setback that pushed back the release of the PlayStation 3?,PAL
"Professional wrestling shows can be considered a form of theatre in the round, with the ring, ringside area, and entryway comprising a thrust stage. However, there is a much more limited concept of a fourth wall than in most theatric performances. The audience is recognized and acknowledged by the performers as spectators to the sporting event being portrayed, and are encouraged to interact as such. This leads to a high level of audience participation; in fact, their reactions can dictate how the performance unfolds. Often, individual matches will be part of a longer storyline conflict between ""babyfaces"" (often shortened to just ""faces"") and ""heels"". ""Faces"" (the ""good guys"") are those whose actions are intended to encourage the audience to cheer, while ""heels"" (the ""bad guys"") act to draw the spectators' ire.",How do the wrestlers treat the audience?,The audience is recognized and acknowledged by the performers as spectators
"Under the terms of the concluding Treaty of Versailles signed in 1919, the empire reached its greatest extent with the addition of 1,800,000 square miles (4,700,000 km2) and 13 million new subjects. The colonies of Germany and the Ottoman Empire were distributed to the Allied powers as League of Nations mandates. Britain gained control of Palestine, Transjordan, Iraq, parts of Cameroon and Togo, and Tanganyika. The Dominions themselves also acquired mandates of their own: the Union of South Africa gained South-West Africa (modern-day Namibia), Australia gained German New Guinea, and New Zealand Western Samoa. Nauru was made a combined mandate of Britain and the two Pacific Dominions.",When was the Treaty of Versailles signed?,1919
"When learning how to write hanja, students are taught to memorize the native Korean pronunciation for the hanja's meaning and the Sino-Korean pronunciations (the pronunciation based on the Chinese pronunciation of the characters) for each hanja respectively so that students know what the syllable and meaning is for a particular hanja. For example, the name for the hanja 水 is 물 수 (mul-su) in which 물 (mul) is the native Korean pronunciation for ""water"", while 수 (su) is the Sino-Korean pronunciation of the character. The naming of hanja is similar to if ""water"" were named ""water-aqua"", ""horse-equus"", or ""gold-aurum"" based on a hybridization of both the English and the Latin names. Other examples include 사람 인 (saram-in) for 人 ""person/people"", 큰 대 (keun-dae) for 大 ""big/large//great"", 작을 소 (jakeul-so) for 小 ""small/little"", 아래 하 (arae-ha) for 下 ""underneath/below/low"", 아비 부 (abi-bu) for 父 ""father"", and 나라이름 한 (naraimreum-han) for 韓 ""Han/Korea"".",What are students taught to memorize?,native Korean pronunciation for the hanja's meaning
"Richmond has a significant arts community, some of which is contained in formal public-supported venues, and some of which is more DIY, such as local privately owned galleries, and private music venues, nonprofit arts organizations, or organic and venueless arts movements (e.g., house shows, busking, itinerant folk shows). This has led to tensions, as the city Richmond City levied an ""admissions tax"" to fund large arts projects like CentreStage, leading to criticism that it is funding civic initiatives on the backs of the organic local culture. Traditional Virginian folk music, including blues, country, and bluegrass are also notably present, and play a large part in the annual Richmond Folk Festival. The following is a list of the more formal arts establishments (Companies, theaters, galleries, and other large venues) in Richmond:","What notable project was funded by Richmond's ""admissions tax""?",CentreStage
"Tennessee has played a critical role in the development of many forms of American popular music, including rock and roll, blues, country, and rockabilly.[not verified in body] Beale Street in Memphis is considered by many to be the birthplace of the blues, with musicians such as W.C. Handy performing in its clubs as early as 1909.[not verified in body] Memphis is also home to Sun Records, where musicians such as Elvis Presley, Johnny Cash, Carl Perkins, Jerry Lee Lewis, Roy Orbison, and Charlie Rich began their recording careers, and where rock and roll took shape in the 1950s.[not verified in body] The 1927 Victor recording sessions in Bristol generally mark the beginning of the country music genre and the rise of the Grand Ole Opry in the 1930s helped make Nashville the center of the country music recording industry.[not verified in body] Three brick-and-mortar museums recognize Tennessee's role in nurturing various forms of popular music: the Memphis Rock N' Soul Museum, the Country Music Hall of Fame and Museum in Nashville, and the International Rock-A-Billy Museum in Jackson. Moreover, the Rockabilly Hall of Fame, an online site recognizing the development of rockabilly in which Tennessee played a crucial role, is based in Nashville.[not verified in body]",What locale in Memphis is know as the place where blues was born?,Beale Street
